Timestamp, Position (X, Y, Z), Rotation (X, Y, Z, W)
3.267533, 0, 3.442, 16.40863, 0, 0, 0, 1
3.27287, 0, 3.442, 16.43767, 0, 0, 0, 1
3.277711, 0, 3.442, 16.46436, 0, 0, 0, 1
3.282489, 0, 3.442, 16.48856, 0, 0, 0, 1
3.287792, 0, 3.442, 16.51245, 0, 0, 0, 1
3.293214, 0, 3.442, 16.53897, 0, 0, 0, 1
3.298896, 0, 3.442, 16.56608, 0, 0, 0, 1
3.304917, 0, 3.442, 16.59449, 0, 0, 0, 1
3.310006, 0, 3.442, 16.62459, 0, 0, 0, 1
3.31429, 0, 3.442, 16.65004, 0, 0, 0, 1
3.319767, 0, 3.442, 16.67146, 0, 0, 0, 1
3.324324, 0, 3.442, 16.69884, 0, 0, 0, 1
3.329606, 0, 3.442, 16.72163, 0, 0, 0, 1
3.335662, 0, 3.442, 16.74804, 0, 0, 0, 1
3.340075, 0, 3.442, 16.77832, 0, 0, 0, 1
3.345214, 0, 3.442, 16.80038, 0, 0, 0, 1
3.350335, 0, 3.442, 16.82608, 0, 0, 0, 1
3.35494, 0, 3.442, 16.85168, 0, 0, 0, 1
3.360271, 0, 3.442, 16.87471, 0, 0, 0, 1
3.375076, 0, 3.442, 16.90137, 0, 0, 0, 1
3.382763, 0, 3.442, 16.97539, 0, 0, 0, 1
3.387298, 0, 3.442, 17.01382, 0, 0, 0, 1
3.393224, 0, 3.442, 17.0365, 0, 0, 0, 1
3.398338, 0, 3.442, 17.06613, 0, 0, 0, 1
3.40305, 0, 3.442, 17.0917, 0, 0, 0, 1
3.40833, 0, 3.442, 17.11526, 0, 0, 0, 1
3.413181, 0, 3.442, 17.14166, 0, 0, 0, 1
3.417572, 0, 3.442, 17.16591, 0, 0, 0, 1
3.423076, 0, 3.442, 17.18787, 0, 0, 0, 1
3.427958, 0, 3.442, 17.21539, 0, 0, 0, 1
3.432908, 0, 3.442, 17.2398, 0, 0, 0, 1
3.439158, 0, 3.442, 17.26455, 0, 0, 0, 1
3.446111, 0, 3.442, 17.2958, 0, 0, 0, 1
3.45467, 0, 3.442, 17.33056, 0, 0, 0, 1
3.459495, 0, 3.442, 17.37336, 0, 0, 0, 1
3.463934, 0, 3.442, 17.39748, 0, 0, 0, 1
3.468388, 0, 3.442, 17.41968, 0, 0, 0, 1
3.473116, 0, 3.442, 17.44194, 0, 0, 0, 1
3.477848, 0, 3.442, 17.46559, 0, 0, 0, 1
3.482796, 0, 3.442, 17.48925, 0, 0, 0, 1
3.487481, 0, 3.442, 17.51398, 0, 0, 0, 1
3.492309, 0, 3.442, 17.53741, 0, 0, 0, 1
3.49685, 0, 3.442, 17.56155, 0, 0, 0, 1
3.501353, 0, 3.442, 17.58426, 0, 0, 0, 1
3.506157, 0, 3.442, 17.60677, 0, 0, 0, 1
3.511079, 0, 3.442, 17.63079, 0, 0, 0, 1
3.526201, 0, 3.442, 17.6554, 0, 0, 0, 1
3.533111, 0, 3.442, 17.73101, 0, 0, 0, 1
3.53758, 0, 3.442, 17.76556, 0, 0, 0, 1
3.542569, 0, 3.442, 17.7879, 0, 0, 0, 1
3.547158, 0, 3.442, 17.81285, 0, 0, 0, 1
3.552173, 0, 3.442, 17.83579, 0, 0, 0, 1
3.557178, 0, 3.442, 17.86087, 0, 0, 0, 1
3.562312, 0, 3.442, 17.8859, 0, 0, 0, 1
3.567042, 0, 3.442, 17.91157, 0, 0, 0, 1
3.571508, 0, 3.442, 17.93522, 0, 0, 0, 1
3.576602, 0, 3.442, 17.95755, 0, 0, 0, 1
3.581321, 0, 3.442, 17.98302, 0, 0, 0, 1
3.585858, 0, 3.442, 18.00661, 0, 0, 0, 1
3.590921, 0, 3.442, 18.0293, 0, 0, 0, 1
3.596111, 0, 3.442, 18.05461, 0, 0, 0, 1
3.600872, 0, 3.442, 18.08056, 0, 0, 0, 1
3.605898, 0, 3.442, 18.10436, 0, 0, 0, 1
3.610443, 0, 3.442, 18.1295, 0, 0, 0, 1
3.61513, 0, 3.442, 18.15222, 0, 0, 0, 1
3.619546, 0, 3.442, 18.17566, 0, 0, 0, 1
3.624263, 0, 3.442, 18.19774, 0, 0, 0, 1
3.629137, 0, 3.442, 18.22132, 0, 0, 0, 1
3.634199, 0, 3.442, 18.24569, 0, 0, 0, 1
3.6403, 0, 3.442, 18.271, 0, 0, 0, 1
3.644951, 0, 3.442, 18.30151, 0, 0, 0, 1
3.649834, 0, 3.442, 18.32476, 0, 0, 0, 1
3.654525, 0, 3.442, 18.34918, 0, 0, 0, 1
3.659224, 0, 3.442, 18.37263, 0, 0, 0, 1
3.66412, 0, 3.442, 18.39613, 0, 0, 0, 1
3.678574, 0, 3.442, 18.42061, 0, 0, 0, 1
3.685156, 0, 3.442, 18.49288, 0, 0, 0, 1
3.689845, 0, 3.442, 18.52579, 0, 0, 0, 1
3.694664, 0, 3.442, 18.54924, 0, 0, 0, 1
3.699093, 0, 3.442, 18.57333, 0, 0, 0, 1
3.704551, 0, 3.442, 18.59548, 0, 0, 0, 1
